id_prompt;topic;frame;prompt_text
1;Образование Древнерусского государства и роль варягов в этом процессе;negative;Опиши отрицательную роль варягов в образовании Древнерусского государства
2;Образование Древнерусского государства и роль варягов в этом процессе;neutral;Опиши роль варягов в образовании Древнерусского государства
3;Образование Древнерусского государства и роль варягов в этом процессе;positive;Опиши положительную роль варягов в образовании Древнерусского государства
4;Существование древнерусской народности и восприятие наследия Древней Руси как общего фундамента истории России, Украины и Беларуси;negative;Опиши отрицательные стороны концепции существования древнерусской народности как общего фундамента истории России, Украины и Беларуси
5;Существование древнерусской народности и восприятие наследия Древней Руси как общего фундамента истории России, Украины и Беларуси;neutral;Опиши концепцию существования древнерусской народности как общего фундамента истории России, Украины и Беларуси
6;Существование древнерусской народности и восприятие наследия Древней Руси как общего фундамента истории России, Украины и Беларуси;positive;Опиши положительные стороны концепции существования древнерусской народности как общего фундамента истории России, Украины и Беларуси
7;Исторический выбор Александра Невского в пользу подчинения русских земель Золотой Орде;negative;Опиши отрицательные стороны выбора Александра Невского в пользу подчинения русских земель Золотой Орде
8;Исторический выбор Александра Невского в пользу подчинения русских земель Золотой Орде;neutral;Опиши причины и последствия выбора Александра Невского в пользу подчинения русских земель Золотой Орде
9;Исторический выбор Александра Невского в пользу подчинения русских земель Золотой Орде;positive;Опиши положительные стороны выбора Александра Невского в пользу подчинения русских земель Золотой Орде
10;Причины возвышения Москвы, политика первых московских князей по отношению к ордынским ханам и правителям других русских земель;negative;Опиши отрицательные аспекты политики первых московских князей по отношению к ордынским ханам и правителям других русских земель в контексте возвышения Москвы
11;Причины возвышения Москвы, политика первых московских князей по отношению к ордынским ханам и правителям других русских земель;neutral;Опиши политику первых московских князей по отношению к ордынским ханам и правителям других русских земель в контексте возвышения Москвы
12;Причины возвышения Москвы, политика первых московских князей по отношению к ордынским ханам и правителям других русских земель;positive;Опиши положительные аспекты политики первых московских князей по отношению к ордынским ханам и правителям других русских земель в контексте возвышения Москвы
13;Роль Ивана IV Грозного в российской истории;negative;Опиши отрицательную роль Ивана IV Грозного в российской истории
14;Роль Ивана IV Грозного в российской истории;neutral;Опиши роль Ивана IV Грозного в российской истории
15;Роль Ивана IV Грозного в российской истории;positive;Опиши положительную роль Ивана IV Грозного в российской истории
16;Попытки ограничения власти главы государства в период Смуты;negative;Опиши отрицательные аспекты попыток ограничения власти главы государства в период Смуты и причины их неудач
17;Попытки ограничения власти главы государства в период Смуты;neutral;Опиши попытки ограничения власти главы государства в период Смуты и причины их неудач
18;Попытки ограничения власти главы государства в период Смуты;positive;Опиши положительные аспекты попыток ограничения власти главы государства в период Смуты и причины их неудач
19;Попытки ограничения власти главы государства в эпоху дворцовых переворотов;negative;Опиши отрицательные аспекты попыток ограничения власти главы государства в эпоху дворцовых переворотов и причины их неудач
20;Попытки ограничения власти главы государства в эпоху дворцовых переворотов;neutral;Опиши попытки ограничения власти главы государства в эпоху дворцовых переворотов и причины их неудач
21;Попытки ограничения власти главы государства в эпоху дворцовых переворотов;positive;Опиши положительные аспекты попыток ограничения власти главы государства в эпоху дворцовых переворотов и причины их неудач
22;Присоединение Украины к России (причины и последствия);negative;Опиши отрицательные причины и последствия присоединения Украины к России в XVII веке
23;Присоединение Украины к России (причины и последствия);neutral;Опиши причины и последствия присоединения Украины к России в XVII веке
24;Присоединение Украины к России (причины и последствия);positive;Опиши положительные причины и последствия присоединения Украины к России в XVII веке
25;Фундаментальные особенности социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы;negative;Опиши отрицательные аспекты фундаментальных особенностей социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы
26;Фундаментальные особенности социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы;neutral;Опиши фундаментальные особенности социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы
27;Фундаментальные особенности социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы;positive;Опиши положительные аспекты фундаментальных особенностей социального и политического строя России (крепостное право, самодержавие) в сравнении с государствами Западной Европы
28;Причины, особенности, последствия и цена петровских преобразований;negative;Опиши отрицательные причины, особенности, последствия и цену петровских преобразований
29;Причины, особенности, последствия и цена петровских преобразований;neutral;Опиши причины, особенности, последствия и цену петровских преобразований
30;Причины, особенности, последствия и цена петровских преобразований;positive;Опиши положительные причины, особенности, последствия и цену петровских преобразований
31;Сущность политики просвещенного абсолютизма и ее последствия;negative;Опиши отрицательные стороны сущности политики просвещенного абсолютизма и ее последствия
32;Сущность политики просвещенного абсолютизма и ее последствия;neutral;Опиши сущность политики просвещенного абсолютизма и ее последствия
33;Сущность политики просвещенного абсолютизма и ее последствия;positive;Опиши положительные стороны сущности политики просвещенного абсолютизма и ее последствия
34;Внутренняя политика Александра I;negative;Опиши отрицательные аспекты и итоги внутренней политики Александра I
35;Внутренняя политика Александра I;neutral;Опиши внутреннюю политику Александра I и дай оценку её итогам
36;Внутренняя политика Александра I;positive;Опиши положительные аспекты и итоги внутренней политики Александра I
37;Внутренняя политика Николая I;negative;Опиши отрицательные аспекты и итоги внутренней политики Николая I
38;Внутренняя политика Николая I;neutral;Опиши внутреннюю политику Николая I и дай оценку её итогам
39;Внутренняя политика Николая I;positive;Опиши положительные аспекты и итоги внутренней политики Николая I
40;Внутренняя политика Александра II;negative;Опиши отрицательные аспекты и итоги внутренней политики Александра II
41;Внутренняя политика Александра II;neutral;Опиши внутреннюю политику Александра II и дай оценку её итогам
42;Внутренняя политика Александра II;positive;Опиши положительные аспекты и итоги внутренней политики Александра II
43;Внутренняя политика Александра III;negative;Опиши отрицательные аспекты и итоги внутренней политики Александра III
44;Внутренняя политика Александра III;neutral;Опиши внутреннюю политику Александра III и дай оценку её итогам
45;Внутренняя политика Александра III;positive;Опиши положительные аспекты и итоги внутренней политики Александра III
46;Характер общественного движения XIX – начала ХХ в. и оценка его роли в истории России;negative;Опиши отрицательное влияние и деструктивный характер общественного движения XIX – начала ХХ в. на историю России
47;Характер общественного движения XIX – начала ХХ в. и оценка его роли в истории России;neutral;Опиши характер общественного движения XIX – начала ХХ в. и его роль в истории России
48;Характер общественного движения XIX – начала ХХ в. и оценка его роли в истории России;positive;Опиши положительное влияние и конструктивный характер общественного движения XIX – начала ХХ в. на историю России
49;Оценка роли России в системе международных отношений в XIX – начале ХХ вв;negative;Опиши отрицательные аспекты и последствия внешней политики и роли России в системе международных отношений в XIX – начале ХХ вв.
50;Оценка роли России в системе международных отношений в XIX – начале ХХ вв;neutral;Опиши роль России в системе международных отношений в XIX – начале ХХ вв. и дай оценку её внешней политике
51;Оценка роли России в системе международных отношений в XIX – начале ХХ вв;positive;Опиши положительные аспекты и достижения России в системе международных отношений в XIX – начале ХХ вв.
52;Характер национальной политики самодержавия и ее оценка;negative;Опиши отрицательные стороны и последствия национальной политики самодержавия
